,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
292,N/A,N/A,gm,N/A,N/A,N/A,N/A,N/A,131.05,16.00,0.36,1.53,3.04,2.68,1.46,11.66,95.65,84340000000.0,84340000000.0,6.73,0.43,0.55,8.29,0.55,13810000000.0,8.29,3620000000.0,2.15,343.70,4.50,22080000000.0,13.74,48260000000.0,1.24,22.71,8460000000.0,1.11,0.03,71.20,44840000.0,3.60,2.80,42410000.0,N/A
293,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,113.44,62.91,5.44,80.81,8.89,31.40,14.49,59.80,12.81,1.1809e+11,1.1809e+11,14.09,1.10,5.78,16.49,5.78,15530000000.0,16.49,1810000000.0,1.12,4.30,10.50,7920000000.0,4.97,15330000000.0,1.39,0.86,4510000000.0,1.63,0.08,39.90,92460000.0,8.50,5.80,29570000.0,N/A
294,N/A,N/A,fisv,N/A,N/A,N/A,N/A,N/A,119.70,27.65,3.94,6.27,14.96,24.54,8.33,22.94,20.87,23930000000.0,23930000000.0,19.86,1.98,4.69,15.46,4.69,2180000000.0,15.46,764000000.0,3.07,6.00,3.30,296000000.0,1.25,3850000000.0,1.00,13.54,1360000000.0,0.81,1.75,89.90,2780000.0,2.70,1.40,2980000.0,N/A
295,N/A,N/A,hrb,N/A,N/A,N/A,N/A,N/A,29.47,17.96,2.73,4.59,15.39,25.81,10.79,28.72,11.19,6700000000.0,6700000000.0,13.41,1.39,2.18,7.02,2.18,1750000000.0,7.02,485970000.0,1.70,18.80,10.20,2450000000.0,8.89,540090000.0,1.57,6.66,626610000.0,1.59,0.28,88.70,7810000.0,3.50,2.80,10470000.0,N/A
296,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,39.80,41.95,1.91,3.20,4.66,12.89,6.10,10.89,20.88,12720000000.0,12720000000.0,20.31,5.37,1.82,10.42,1.82,3590000000.0,10.42,533000000.0,0.95,40.30,2.50,2200000000.0,6.59,1660000000.0,3.89,12.48,1160000000.0,0.96,0.26,85.00,3230000.0,1.50,1.10,2890000.0,N/A
297,N/A,N/A,ba,N/A,N/A,N/A,N/A,N/A,112.55,17.83,1.07,12.50,6.29,8.28,5.05,51.34,128.77,1.002e+11,1.002e+11,15.32,1.35,1.08,10.47,1.08,14010000000.0,10.47,5810000000.0,7.99,38.40,8.20,9590000000.0,13.87,9040000000.0,1.20,11.39,7830000000.0,0.72,0.08,9.90,12780000.0,3.20,2.20,12670000.0,N/A
298,N/A,N/A,iff,N/A,N/A,N/A,N/A,N/A,60.02,21.13,2.95,5.81,14.10,19.55,11.07,28.20,38.27,9630000000.0,9630000000.0,19.38,2.46,3.11,14.25,3.11,1360000000.0,14.25,433790000.0,5.33,20.20,0.60,446360000.0,5.51,943550000.0,3.60,19.37,514870000.0,0.85,1.53,81.00,1550000.0,3.70,2.00,1420000.0,N/A
299,N/A,N/A,nue,N/A,N/A,N/A,N/A,N/A,55.99,22.25,0.73,1.97,3.29,6.38,5.43,9.77,63.73,18320000000.0,18320000000.0,15.21,1.69,0.90,9.06,0.90,1910000000.0,9.06,668430000.0,2.08,38.90,13.90,1270000000.0,3.97,4430000000.0,3.85,23.85,1760000000.0,1.26,0.60,79.00,5980000.0,3.50,1.90,5780000.0,N/A
300,N/A,N/A,flr,N/A,N/A,N/A,N/A,N/A,31.86,16.91,0.39,2.62,2.44,5.79,9.59,23.43,134.07,7270000000.0,7270000000.0,12.18,1.20,0.35,5.23,0.35,1400000000.0,5.23,710470000.0,3.23,3.40,15.50,1960000000.0,13.35,1020000000.0,1.91,20.88,495140000.0,1.58,0.56,89.10,4340000.0,3.30,3.40,4580000.0,N/A
301,N/A,N/A,cah,N/A,N/A,N/A,N/A,N/A,62.85,25.19,0.29,4.50,1.18,2.14,4.97,17.89,292.83,30550000000.0,30550000000.0,17.41,1.86,0.31,12.01,0.31,5160000000.0,12.01,1150000000.0,3.42,15.90,18.40,3180000000.0,9.62,4000000000.0,1.20,19.24,2390000000.0,0.40,10.35,77.90,5220000.0,2.30,1.70,5340000.0,N/A
302,N/A,N/A,mac,N/A,N/A,N/A,N/A,N/A,108.38,7.59,9.99,2.16,125.03,25.40,1.72,33.50,8.16,18520000000.0,18520000000.0,18.51,3.05,15.38,25.97,15.38,663320000.0,25.97,1500000000.0,10.17,38.10,17.40,118160000.0,0.75,6470000000.0,0.69,35.19,464920000.0,0.70,0.64,105.00,4010000.0,2.30,3.40,2330000.0,N/A
303,N/A,N/A,bcr,N/A,N/A,N/A,N/A,N/A,93.76,47.06,3.84,7.34,8.55,25.02,10.53,15.03,44.62,13390000000.0,13390000000.0,17.44,1.77,4.00,13.31,4.00,2060000000.0,13.31,281500000.0,3.69,5.80,2.60,1010000000.0,13.57,1640000000.0,2.26,23.55,659700000.0,0.98,0.40,94.00,1750000.0,3.80,2.40,1870000.0,N/A
304,N/A,N/A,jwn,N/A,N/A,N/A,N/A,N/A,123.13,20.84,1.04,5.64,5.13,9.31,8.82,30.84,72.50,16710000000.0,16710000000.0,18.41,2.78,1.21,9.23,1.21,5100000000.0,9.23,708000000.0,3.66,8.60,9.70,769000000.0,4.04,3150000000.0,1.84,13.38,1210000000.0,1.02,26.23,57.70,4930000.0,3.20,3.50,3780000.0,N/A
305,N/A,N/A,bbby,N/A,N/A,N/A,N/A,N/A,58.62,14.03,0.99,4.31,8.06,13.08,14.81,28.65,63.65,12690000000.0,12690000000.0,12.79,2.20,1.07,7.08,1.07,4620000000.0,7.08,957470000.0,5.07,3.70,4.20,985570000.0,5.78,1610000000.0,2.10,16.08,1190000000.0,0.89,8.10,88.40,14630000.0,6.10,8.80,13590000.0,N/A
306,N/A,N/A,mjn,N/A,N/A,N/A,N/A,N/A,202.07,25.70,4.20,27.63,16.51,22.36,16.52,125.46,21.71,18570000000.0,18570000000.0,21.08,2.52,4.23,17.27,4.23,2710000000.0,17.27,723400000.0,3.56,2.50,1.70,1430000000.0,7.08,1510000000.0,2.12,3.30,870300000.0,1.17,0.22,91.80,2670000.0,2.10,1.30,2580000.0,N/A
307,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,23.32,19.39,2.65,2.96,13.60,16.76,7.48,16.04,7.63,23000000000.0,23000000000.0,13.28,1.26,2.47,11.90,2.47,3840000000.0,11.90,1270000000.0,1.02,38.90,3.80,3230000000.0,2.62,1950000000.0,2.76,6.78,1350000000.0,2.18,0.23,90.70,21200000.0,1.00,1.70,26100000.0,N/A
308,N/A,N/A,stj,N/A,N/A,N/A,N/A,N/A,90.26,21.19,3.73,5.42,18.11,26.02,9.25,23.97,19.69,24050000000.0,24050000000.0,17.18,1.88,4.29,13.59,4.29,3970000000.0,13.59,1020000000.0,3.51,5.20,1.30,726000000.0,2.58,3500000000.0,1.15,13.72,1260000000.0,1.55,2.37,83.40,6110000.0,4.20,2.50,6640000.0,N/A
309,N/A,N/A,fosl,N/A,N/A,N/A,N/A,N/A,74.15,10.74,1.02,4.12,10.07,15.67,16.29,37.59,66.60,3950000000.0,3950000000.0,11.56,1.22,1.14,6.20,1.14,2000000000.0,6.20,348430000.0,6.69,42.60,6.60,236840000.0,4.85,652700000.0,3.51,17.58,375880000.0,1.04,18.09,85.00,9020000.0,5.40,20.80,9250000.0,N/A
310,N/A,N/A,nov,N/A,N/A,N/A,N/A,N/A,22.20,9.44,0.89,1.02,10.40,16.32,6.42,10.59,50.55,20310000000.0,20310000000.0,19.23,1.74,0.95,4.76,0.95,5810000000.0,4.76,2210000000.0,5.23,47.40,1.40,3020000000.0,7.80,4240000000.0,2.30,48.19,2240000000.0,1.30,0.23,88.00,23290000.0,4.70,5.90,25900000.0,N/A
311,N/A,N/A,te,N/A,N/A,N/A,N/A,N/A,148.17,29.55,1.55,1.61,5.16,19.99,4.13,9.02,11.79,8100000000.0,8100000000.0,15.13,1.76,3.02,9.22,3.02,1020000000.0,9.22,221100000.0,0.60,15.80,19.90,32799999.999999996,0.14,3830000000.0,0.53,10.98,624900000.0,0.60,1.14,55.30,7180000.0,2.90,3.10,8300000.000000001,N/A
312,N/A,N/A,mwv,N/A,N/A,N/A,N/A,N/A,91.26,30.77,1.45,2.58,4.74,10.09,3.73,8.07,33.28,11060000000.0,11060000000.0,21.79,3.02,1.98,11.98,1.98,1170000000.0,11.98,262000000.0,1.55,6.50,3.00,262000000.0,1.56,3000000000.0,1.99,18.65,477000000.0,0.55,5.55,88.90,1660000.0,1.40,1.20,1500000.0,N/A
313,N/A,N/A,tss,N/A,N/A,N/A,N/A,N/A,82.97,22.68,3.11,4.59,13.96,18.89,7.93,18.23,13.71,8980000000.0,8980000000.0,17.23,1.72,3.57,14.80,3.57,777980000.0,14.80,300140000.0,1.88,57.70,11.70,328110000.0,1.78,1440000000.0,2.21,9.27,569990000.0,0.88,3.04,75.00,2320000.0,2.30,1.50,2670000.0,N/A
314,N/A,N/A,xrx,N/A,N/A,N/A,N/A,N/A,71.71,14.33,0.63,1.18,4.75,7.75,3.36,8.87,16.92,18990000000.0,18990000000.0,10.17,5.61,0.99,8.01,0.99,6250000000.0,8.01,985000000.0,0.77,19.90,6.30,872000000.0,0.79,7600000000.0,1.46,9.26,1890000000.0,1.41,5.96,84.00,9330000.0,0.80,0.90,9280000.0,N/A
